AccountName,AgencyCode,StateName
Ocean View Non-Public School,IS000007,CA - South
Office of the State Superintendent of Education,MD000036,DC
Olympia School District,5306180,WA
Ontario Local School District,3904947,OH
Ontario-Montclair School District,628470,CA - South
Orange County Public Schools,1201440,FL
Orange Unified School District,628650,CA - South
Oregon City School District 62,4109330,OR
Orting School District 344,5306450,WA
Osborn School District 8,405670,AZ
Osceola County School District,1201470,FL
Oxnard School District,629220,CA - South
Oxnard Union High School District,629270,CA - South
Pajaro Valley Unified School District,629490,CA - North
Palm Beach County School District,1201500,FL
Palo Alto Unified School District,629610,CA - North
Palos Verdes Peninsula Unified School District,629700,CA - South
Paradise Valley Unified School District,405930,AZ
Paramount Schools of Excellence,IS000098,IN
Park Hill School District,2923550,MO
Pasadena Independent School District,4834320,TX
Pearland Independent School District,4834440,TX
Pendergast Elementary School District 92,406210,AZ
Phoenix Elementary School District 1,406300,AZ
Phoenix Union High School District No 210,406330,AZ
Piedmont Unified School District,630330,CA - North
Pittsburg Unified School District,630600,CA - North
Pittsburgh Public Schools,4219170,PA
Placentia-Yorba Linda Unified School District,630660,CA - South
Plano Independent School District,4835100,TX
Pleasanton Unified School District,600020,CA - North
Polk County School District,1201590,FL
Portland Public Schools,4110040,OR
Prince William County Public Schools,5103130,VA
Puyallup School District,5306960,WA
Queen Creek Unified School District 95,406810,AZ
Raytown Quality Schools,2926070,MO
Redlands Unified School District,632070,CA - South
Renton School District,5307230,WA
Rialto Unified School District,632370,CA - South
Richmond City Public Schools,5103240,VA
Rincon Valley Union School District,632640,CA - North
Rio School District,632760,CA - South
Riverview School District,5304560,WA
Roanoke City Public Schools,5103300,VA
Roosevelt School District No 66,407080,AZ
Round Rock Independent School District,4838080,TX
Rowland Unified School District,633750,CA - South
Rutherford County Schools,4703690,TN
San Bruno Park School District,634230,CA - North
San Diego County Foster Youth and Homeless Education Services,691030,CA - South
San Francisco Unified School District,634410,CA - North
San Jose Unified School District,634590,CA - North
San Juan Unified School District,634620,CA - North
San Leandro Unified School District,634680,CA - North
San Lorenzo Unified School District,634710,CA - North
San Mateo County Office of Education,691033,CA - North
San Rafael City Schools,635110,CA - North
Santa Ana Unified School District,635310,CA - South
Santee School District,635880,CA - South
School District Five of Lexington and Richland Counties,4502820,SC
School District of Manatee County,1201230,FL
Scottsdale Unified School District,407570,AZ
Seattle Public Schools,5307710,WA
Seneca Family of Agencies,IS000014,CA - North
Sequoia Union High School District,636390,CA - North
Shawnee Mission School District,2011640,KS
Sheldon Independent School District,4839990,TX
Shelton School District,5307900,WA
Sheridan School District 2,806540,CO
Sherwood School District,4111290,OR
Shoreline School District,5307920,WA
Silver Oak High School,IS000015,CA - North
"Silver River Mentoring and Instruction, Inc.",IS000003,FL
Simi Valley Unified School District,636840,CA - South
Snohomish School District 201,5308020,WA
Snoqualmie Valley School District,5308040,WA
Snowline Joint Unified School District,636970,CA - South
Sonoma County Office of Education,691040,CA - North
Sonoma Valley Unified School District,637200,CA - North
South San Francisco Unified School District,637530,CA - North
Spokane Public Schools,5308250,WA
Spring Branch Independent School District,4841100,TX
Spring Independent School District,4841220,TX
St. Lucie Public Schools,1201770,FL
St. Vrain Valley School District Re-1j,805370,CO
Stafford County Public Schools,5103660,VA
Summit Public Schools (Summit Atlas),IS000082,WA
Summit Public Schools (Summit Olympus),IS000084,WA
Summit Public Schools (Summit Sierra),IS000085,WA
Sumner County School District,4704020,TN
Tacoma Public Schools,5308700,WA
Tahoma School District 409,5308760,WA
Tempe Union High School District 213,408340,AZ
Tennyson Center For Children At Colorado Christian Home,IS000071,CO
The Classical Academies,IS000079,CA - South
The School District of Philadelphia,4218990,PA
Thompson School District R2j,805400,CO
Tigard-Tualatin School District,4112240,OR
Tolleson Union High School District,408520,AZ
Torrance Unified School District,639420,CA - South
Tukwila School District,5308130,WA
Union Elementary School District 62,408820,AZ
University Place School District,5309180,WA
Upland Unified School District,600016,CA - South
USC East College Prep,IS000073,CA - South
Vashon Island School District,5309300,WA
Ventura County Office of Education,691047,CA - South
Virginia Beach City Public Schools,5103840,VA
Waller Independent School District,4844430,TX
Walnut Valley Unified School District,641280,CA - South
Warren County Department of Social Services,IS000089,VA
Washington County School District,4901140,UT
Weld County School District 6 (Greeley-Evans),804410,CO
Weld County School District Re-4,807350,CO
Weld County School District RE-5J,804830,CO
West County Transportation Agency,CP000006,CA - North
West Orange County Consortium for Special Education,IS000096,CA - South
West Shore School District,4225830,PA
Westminster Public Schools (Adams 50),807230,CO
Whitehall City Schools,3904507,OH
Widefield School District 3,806480,CO
Winchester Public Schools,5104050,VA
Windsor Unified School District,600034,CA - North
Wylie Independent School District,4846530,TX
Wythe County Public Schools,5104110,VA
